Kangaroo Jack	Warner Bros.	Adventure
The League of Extraordinary…	20th Century Fox	Adventure
Lara Croft: Tomb Raider: Th…	Paramount Pictures	Adventure
The Jungle Book 2	Walt Disney	Adventure
Agent Cody Banks	MGM	Adventure
The Lizzie McGuire Movie	Walt Disney	Adventure
Rugrats Go Wild	Paramount Pictures	Adventure
Good Boy!	MGM	Adventure
Peter Pan	Universal	Adventure
Johnny English	Universal	Adventure
Sinbad: Legend of the Seven…	Dreamworks SKG	Adventure
"Piglet's Big Movie"	Walt Disney	Adventure
Looney Tunes: Back in Action	Warner Bros.	Adventure
Timeline	Paramount Pictures	Adventure
Harry Potter and the Chambe…	Warner Bros.	Adventure
The Lion King	Walt Disney	Adventure
The Wild Thornberrys Movie	Paramount Pictures	Adventure
Grind	Warner Bros.	Adventure
Sen to Chihiro no Kamikakushi	Walt Disney	Adventure
T-Rex: Back to the Cretaceous	IMAX Films	Adventure
Star Trek: Nemesis	Paramount Pictures	Adventure
Haunted Castle	nWave Pictures	Adventure
Young Black Stallion	Walt Disney	Adventure
Treasure Planet	Walt Disney	Adventure
The Legend of Johnny Lingo	Innovation Film G…	Adventure
The Santa Clause 2	Walt Disney	Adventure
Santa vs. The Snowman	IMAX Films	Adventure
