Dan in Real Life	Walt Disney	Romantic-Comedy
License to Wed	Warner Bros.	Romantic-Comedy
No Reservations	Warner Bros.	Romantic-Comedy
Because I Said So	Universal	Romantic-Comedy
The Heartbreak Kid	Paramount Pictures	Romantic-Comedy
Good Luck Chuck	Lionsgate	Romantic-Comedy
"Daddy's Little Girls"	Lionsgate	Romantic-Comedy
P.S. I Love You	Warner Bros.	Romantic-Comedy
Waitress	Fox Searchlight	Romantic-Comedy
Catch and Release	Sony Pictures	Romantic-Comedy
The Holiday	Sony Pictures	Romantic-Comedy
I Think I Love My Wife	Fox Searchlight	Romantic-Comedy
The Perfect Holiday	Yari Film Group R…	Romantic-Comedy
The Ex	MGM	Romantic-Comedy
Salaam-e-Ishq (A Tribute to…	Eros Entertainment	Romantic-Comedy
Namastey London	Eros Entertainment	Romantic-Comedy
Partner	Eros Entertainment	Romantic-Comedy
Broken English	Magnolia Pictures	Romantic-Comedy
Cheeni Kum	Eros Entertainment	Romantic-Comedy
Angel-A	Sony Pictures Cla…	Romantic-Comedy
Americanizing Shelley	Rocky Mountain Pi…	Romantic-Comedy
David & Layla	Newroz Films	Romantic-Comedy
Dedication	Weinstein/Dimension	Romantic-Comedy
Puccini for Beginners	Strand	Romantic-Comedy
Blind Dating	Samuel Goldwyn Films	Romantic-Comedy
The Treatment	New Yorker	Romantic-Comedy
Gray Matters	Yari Film Group R…	Romantic-Comedy
Falling for Grace	Slowhand Cinema	Romantic-Comedy
Gringo Wedding	Self Distributed	Romantic-Comedy
The Good Night	Sony Pictures	Romantic-Comedy
American Fusion	Wildcat Releasing	Romantic-Comedy
What Happens in Vegas...	20th Century Fox	Romantic-Comedy
27 Dresses	20th Century Fox	Romantic-Comedy
Forgetting Sarah Marshall	Universal	Romantic-Comedy
Made of Honor	Sony Pictures	Romantic-Comedy
"Definitely, Maybe"	Universal	Romantic-Comedy
Leatherheads	Universal	Romantic-Comedy
P.S. I Love You	Warner Bros.	Romantic-Comedy
"My Best Friend's Girl"	Lionsgate	Romantic-Comedy
Ghost Town	Paramount Pictures	Romantic-Comedy
Smart People	Miramax	Romantic-Comedy
Enchanted	Walt Disney	Romantic-Comedy
Then She Found Me	ThinkFilm	Romantic-Comedy
Sukkar banat	Roadside Attractions	Romantic-Comedy
Bachna Ae Haseeno	Yash Raj Films	Romantic-Comedy
"Noah's Arc: Jumping the Broom"	Logo Features	Romantic-Comedy
Dan in Real Life	Walt Disney	Romantic-Comedy
Kismat Konnection	UTV Communications	Romantic-Comedy
Elsa & Fred	Mitropoulos Films	Romantic-Comedy
The Other End of the Line	MGM	Romantic-Comedy
The Perfect Holiday	Yari Film Group R…	Romantic-Comedy
"I Can't Think Straight"	Regent Releasing	Romantic-Comedy
Kiss the Bride	Regent Releasing	Romantic-Comedy
The Hottie and the Nottie	Regent Releasing	Romantic-Comedy
Antarctica	Regent Releasing	Romantic-Comedy
David & Layla	Newroz Films	Romantic-Comedy
